,weights,c,m,sigma,logL,logL_birth,nlive,pid,start_pid,end_pid
17,0.0,-9.248142510405021,-8.718347740116341,0.1228327711985,-6160.7004369253555,-inf,4983,3743,194,5017
18,0.0,-9.524775378659811,9.001259281724376,0.12168969410457864,-5405.853727726322,-inf,4982,2762,4248,5018
19,0.0,-9.376343012938921,-3.626954948818968,0.11181884593551406,-5386.235955053497,-inf,4981,3405,1795,5019
20,0.0,-7.157622006504019,-8.552009521132579,0.1161553635082413,-4793.9887673611665,-inf,4980,3132,530,5020
21,0.0,-8.71856144490021,4.00478500899395,0.10231118702855424,-4716.475156402609,-inf,4979,181,4904,5021
22,0.0,-4.933878899328166,1.0415229663157266,0.045618340270439095,-3908.3192912417476,-inf,4978,956,4211,5022
23,0.0,-8.423023322294627,-7.509745217081787,0.1682880771211548,-3721.5868036194743,-inf,4977,2119,2623,5023
24,0.0,-7.591332858089119,6.080065060055886,0.11108922330394178,-3651.871993414424,-inf,4976,1987,4698,5024
25,0.0,9.008773036927455,-7.6758384390598255,0.1536941338578024,-3296.395519527919,-inf,4975,756,891,5025
26,0.0,-8.326027510612764,0.6315394945566144,0.13437833007741817,-3271.439576347448,-inf,4974,1816,4987,5026
27,0.0,-8.633470335194268,7.211619234895954,0.16262391201073756,-3215.159261064407,-inf,4973,3518,1616,5027
28,0.0,-9.100283902774905,-7.683653958768777,0.21891448283990256,-3195.563617622905,-inf,4972,3784,801,5028
29,0.0,-6.636918158363612,-3.3368985525902417,0.11423359682297907,-3053.00988384372,-inf,4971,2734,1756,5029
30,0.0,-5.8841261067055495,3.3267258525304078,0.08143239282642822,-2970.6491633521264,-inf,4970,1299,968,5030
31,0.0,-6.5425521554832455,8.901592210085688,0.13434837631634444,-2866.814151995218,-inf,4969,3758,2457,5031
32,0.0,-7.606537780755489,-7.744591881126954,0.19745827804658722,-2845.442853312301,-inf,4968,4611,732,5032
33,0.0,-6.0377688132539875,-5.435714600285744,0.1317701171248964,-2721.4275004236742,-inf,4967,4329,80,5033
34,0.0,6.610099504028204,-1.4045609397680359,0.06736841191340659,-2651.346961414834,-inf,4966,3505,3767,5034
35,0.0,-7.957059849965025,-7.722896263834462,0.22603229823717763,-2619.2049459982704,-inf,4965,3378,3477,5035
36,0.0,-4.0172330332388295,5.365991394411593,0.05873016721807067,-2566.6736880399417,-inf,4964,306,1257,5036
37,0.0,-8.108229709013015,1.8677116367828006,0.1658034750856996,-2510.9450560432706,-inf,4963,3807,512,5037
38,0.0,-7.194735391225802,1.2933010480994556,0.1350831562250132,-2500.4940431688606,-inf,4962,851,2960,5038
39,0.0,7.079440748406505,6.183631725871401,0.0883383594452547,-2499.8193248042817,-inf,4961,4822,2682,5039
40,0.0,-5.444072649342009,-6.254543440885749,0.1442740532234721,-2387.2124473619506,-inf,4960,2232,20,5040
41,0.0,-2.722787972557281,4.077753251533154,0.0332095436743618,-2386.179386263364,-inf,4959,1891,4942,5041
42,0.0,-8.862553759504838,-0.8763729986848157,0.2136977788185157,-2358.8709486572266,-inf,4958,2356,4906,5042
43,0.0,-6.544741423296565,1.0705083087443024,0.13083324552236375,-2194.8743668832126,-inf,4957,1684,863,5043
44,0.0,-5.296056165055436,-0.6514370962695137,0.0991739620992349,-2141.429480627717,-inf,4956,3874,999,5044
45,0.0,-5.793793353832508,8.455541267539761,0.1503995728532015,-2121.896274607539,-inf,4955,3538,4321,5045
46,0.0,-9.25168412684843,-9.595090248709557,0.3773673857499027,-2115.7547507099994,-inf,4954,3697,1565,5046
47,0.0,7.191980904269042,-4.69980468330192,0.14057283611204063,-1989.586165834548,-inf,4953,2760,880,5047
48,0.0,-7.678956738758078,9.03490824051341,0.2423779398260817,-1988.462890457507,-inf,4952,2426,2323,5048
49,0.0,8.417391356040472,-9.236159393116864,0.2682291808441817,-1967.490097900415,-inf,4951,2109,4907,5049
50,0.0,-8.47087886512063,-8.246610629442493,0.3430532748526094,-1928.21942416182,-inf,4950,2158,4680,5050
51,0.0,-4.755806347950595,-5.505603052327435,0.14818830899407276,-1879.830303134945,-inf,4949,632,346,5051
52,0.0,-0.01503805402335967,-6.511549858810812,0.079682550087663,-1876.8822651234752,-inf,4948,1846,1486,5052
53,0.0,-5.930224029783262,-7.767354197947092,0.23364596836785934,-1851.0953392638955,-inf,4947,2247,3993,5053
54,0.0,-6.9696164322606435,-0.6644786278102988,0.1816229378236356,-1830.7250556302242,-inf,4946,2029,3033,5054
55,0.0,-7.4582942866839685,-9.727267919862651,0.35907685489908747,-1772.392203083299,-inf,4945,39,3747,5055
56,0.0,-7.543736218711783,-7.1686574871208775,0.3028365762784446,-1767.4364775767003,-inf,4944,2728,318,5056
57,0.0,-7.645070966963861,9.579829965411509,0.285471866143725,-1736.653812699648,-inf,4943,201,2130,5057
58,0.0,0.19516058487190513,8.47058339897167,0.05322521579895323,-1705.9484120932657,-inf,4942,2833,2226,5058
59,0.0,3.495630061811994,-5.728115596201433,0.08973309073286861,-1664.7004348687026,-inf,4941,4580,2550,5059
